05/10/2019 03:13:48 PM INFO    : Predicting one face using svm model took 0.0002319812774658203 seconds.
05/10/2019 03:13:48 PM INFO    : Predicting one face using svm model took 0.000186920166015625 seconds.
05/10/2019 03:13:49 PM INFO    : Predicting one face using svm model took 0.00029087066650390625 seconds.
05/10/2019 03:13:49 PM INFO    : Predicting one face using svm model took 0.001653909683227539 seconds.
05/10/2019 03:13:50 PM INFO    : Predicting one face using svm model took 0.00028705596923828125 seconds.
05/10/2019 03:13:50 PM INFO    : Predicting one face using svm model took 0.00022912025451660156 seconds.
05/10/2019 03:13:50 PM INFO    : Predicting one face using svm model took 0.0003857612609863281 seconds.
05/10/2019 03:13:51 PM INFO    : Predicting one face using svm model took 0.00021195411682128906 seconds.
05/10/2019 03:13:51 PM INFO    : Predicting one face using svm model took 0.00019311904907226562 seconds.
05/10/2019 03:13:51 PM INFO    : Predicting one face using svm model took 0.00027298927307128906 seconds.
05/10/2019 03:13:52 PM INFO    : Predicting one face using svm model took 0.0002231597900390625 seconds.
05/10/2019 03:13:52 PM INFO    : Predicting one face using svm model took 0.00027489662170410156 seconds.
05/10/2019 03:13:53 PM INFO    : Predicting one face using svm model took 0.000186920166015625 seconds.
05/10/2019 03:13:53 PM INFO    : Predicting one face using svm model took 0.00019216537475585938 seconds.
05/10/2019 03:13:53 PM INFO    : Predicting one face using svm model took 0.00024390220642089844 seconds.
05/10/2019 03:13:54 PM INFO    : Predicting one face using svm model took 0.00019097328186035156 seconds.
05/10/2019 03:13:54 PM INFO    : Predicting one face using svm model took 0.0001919269561767578 seconds.
05/10/2019 03:13:55 PM INFO    : Predicting one face using svm model took 0.0002269744873046875 seconds.
05/10/2019 03:13:55 PM INFO    : Predicting one face using svm model took 0.00022482872009277344 seconds.
05/10/2019 03:13:55 PM INFO    : Predicting one face using svm model took 0.00026106834411621094 seconds.
05/10/2019 03:13:56 PM INFO    : Predicting one face using svm model took 0.0003218650817871094 seconds.
05/10/2019 03:13:56 PM INFO    : Predicting one face using svm model took 0.00024199485778808594 seconds.
